k,PMF
1,0.19277563597396005
2,0.09638781798698003
3,0.06425854532465335
4,0.04819390899349001
5,0.03855512719479201
6,0.03212927266232667
7,0.027539376567708575
8,0.024096954496745007
9,0.021419515108217782
10,0.019277563597396005
11,0.01752505781581455
12,0.016064636331163337
13,0.014828895074920004
14,0.013769688283854288
15,0.01285170906493067
16,0.012048477248372503
17,0.011339743292585885
18,0.010709757554108891
19,0.010146086103892633
20,0.009638781798698003
21,0.009179792189236192
22,0.008762528907907276
23,0.008381549390172176
24,0.008032318165581668
25,0.007711025438958402
26,0.007414447537460002
27,0.007139838369405927
28,0.006884844141927144
29,0.006647435723240001
30,0.006425854532465335
31,0.006218568902385807
32,0.006024238624186252
33,0.00584168593860485
34,0.005669871646292943
35,0.005507875313541716
36,0.0053548787770544455
37,0.005210152323620542
38,0.005073043051946316
39,0.004942965024973334
40,0.004819390899349001
41,0.004701844779852684
42,0.004589896094618096
43,0.004483154324975815
44,0.004381264453953638
45,0.004283903021643557
46,0.004190774695086088
47,0.004101609276041703
48,0.004016159082790834
49,0.003934196652529797
50,0.003855512719479201
51,0.0037799144308619617
52,0.003707223768730001
53,0.003637276150452076
54,0.0035699191847029634
55,0.0035050115631629097
56,0.003442422070963572
57,0.0033820287012975444
58,0.0033237178616200005
59,0.003267383660575594
60,0.0032129272662326674
61,0.0031602563274419682
62,0.0031092844511929037
63,0.0030599307297453976
64,0.003012119312093126
65,0.002965779014984001
66,0.002920842969302425
67,0.0028772482981188068
68,0.0028349358231464714
69,0.002793849796724059
70,0.002753937656770858
71,0.0027151498024501415
72,0.0026774393885272228
73,0.0026407621366295896
74,0.002605076161810271
75,0.002570341812986134
76,0.002536521525973158
77,0.0025035796879735073
78,0.002471482512486667
79,0.002440197923721013
80,0.0024096954496745007
81,0.002379946123135309
82,0.002350922389926342
83,0.002322598023782651
84,0.002294948047309048
85,0.002267948658517177
86,0.0022415771624879075
87,0.002215811907746667
88,0.002190632226976819
89,0.002166018381729888
90,0.0021419515108217786
91,0.0021184135821314294
92,0.002095387347543044
93,0.0020728563007952694
94,0.0020508046380208517
95,0.002029217220778527
96,0.002008079541395417
97,0.001987377690453196
98,0.0019670983262648984
99,0.0019472286462016168
100,0.0019277563597396004
